date,price
6/2/2018,16000
26/03/2018,40000
27/03/2018,36650
28/03/2018,36650
29/03/2018,36650
2/4/2018,36650
3/4/2018,38650
4/4/2018,36000
5/4/2018,37000
6/4/2018,36000
9/4/2018,36000
10/4/2018,39350
11/4/2018,39350
12/4/2018,39350
13/04/2018,39350
16/04/2018,39350
17/04/2018,37000
18/04/2018,37650
19/04/2018,37000
20/04/2018,36650
23/04/2018,36650
24/04/2018,36650
25/04/2018,37000
26/04/2018,37650
27/04/2018,37650
30/04/2018,37000
2/5/2018,37000
3/5/2018,37000
4/5/2018,37650
7/5/2018,38650
8/5/2018,38650
9/5/2018,38650
11/5/2018,39350
14/05/2018,41650
15/05/2018,41650
16/05/2018,41650
17/05/2018,41650
18/05/2018,41650
21/05/2018,41000
22/05/2018,41000
23/05/2018,39350
24/05/2018,39350
25/05/2018,39350
28/05/2018,38650
30/05/2018,39350
31/05/2018,39350
4/6/2018,39350
5/6/2018,39350
6/6/2018,39350
7/6/2018,39350
8/6/2018,39350
21/06/2018,41650
22/06/2018,41650
25/06/2018,41650
26/06/2018,41650
28/06/2018,41650
29/06/2018,41650
2/7/2018,41000
3/7/2018,39350
4/7/2018,37650
5/7/2018,38650
6/7/2018,38650
9/7/2018,39350
10/7/2018,41650
11/7/2018,39350
12/7/2018,41650
13/07/2018,41650
16/07/2018,45000
17/07/2018,39350
18/07/2018,43350
19/07/2018,43350
20/07/2018,43350
23/07/2018,43350
24/07/2018,43350
25/07/2018,44350
26/07/2018,44350
27/07/2018,44350
30/07/2018,40000
31/07/2018,40000
1/8/2018,39350
2/8/2018,39350
3/8/2018,39350
6/8/2018,38650
7/8/2018,38650
8/8/2018,36000
9/8/2018,36650
10/8/2018,36650
13/08/2018,36650
14/08/2018,38650
15/08/2018,38650
16/08/2018,38650
20/08/2018,38650
21/08/2018,38650
23/08/2018,38650
24/08/2018,38650
27/08/2018,36000
28/08/2018,36000
29/08/2018,36000
30/08/2018,34000
31/08/2018,34000
3/9/2018,34000
4/9/2018,33650
5/9/2018,33650
6/9/2018,32650
7/9/2018,32650
10/9/2018,37000
11/9/2018,37000
13/09/2018,37000
14/09/2018,37000
17/09/2018,37000
18/09/2018,37000
19/09/2018,33650
20/09/2018,33650
21/09/2018,33650
24/09/2018,32650
25/09/2018,32650
26/09/2018,32650
27/09/2018,32650
28/09/2018,33350
1/10/2018,36000
2/10/2018,36000
3/10/2018,36000
4/10/2018,37000
5/10/2018,37000
8/10/2018,38650
9/10/2018,38650
10/10/2018,39350
11/10/2018,39350
12/10/2018,39350
15/10/2018,38650
16/10/2018,39350
17/10/2018,39350
18/10/2018,37000
19/10/2018,37000
22/10/2018,37000
23/10/2018,37000
24/10/2018,39350
25/10/2018,37650
26/10/2018,37000
29/10/2018,38650
30/10/2018,36650
31/10/2018,36650
1/11/2018,37000
2/11/2018,35000
5/11/2018,35000
6/11/2018,35000
7/11/2018,35000
8/11/2018,36000
9/11/2018,36000
12/11/2018,36000
13/11/2018,36000
14/11/2018,36000
15/11/2018,37000
16/11/2018,37000
19/11/2018,37000
21/11/2018,37000
22/11/2018,36000
23/11/2018,37000
26/11/2018,38650
27/11/2018,38650
28/11/2018,38650
29/11/2018,38650
30/11/2018,39350
3/12/2018,39350
4/12/2018,39350
5/12/2018,40000
6/12/2018,40000
7/12/2018,40000
10/12/2018,40000
11/12/2018,40000
12/12/2018,40000
13/12/2018,40000
14/12/2018,40000
17/12/2018,40000
18/12/2018,40000
19/12/2018,43350
20/12/2018,43350
21/12/2018,43350
24/12/2018,43350
26/12/2018,45000
27/12/2018,45000
28/12/2018,45000
31/12/2018,43350
2/1/2019,41650
3/1/2019,41650
4/1/2019,38650
7/1/2019,38650
8/1/2019,37650
9/1/2019,37650
10/1/2019,37650
11/1/2019,37650
14/01/2019,33350
15/01/2019,33350
16/01/2019,33350
17/01/2019,33350
18/01/2019,33350
21/01/2019,36000
22/01/2019,37000
23/01/2019,37000
24/01/2019,37000
25/01/2019,37000
28/01/2019,37000
29/01/2019,37000
30/01/2019,37000
31/01/2019,37000
1/2/2019,37000
4/2/2019,36000
6/2/2019,36000
7/2/2019,36000
8/2/2019,36000
11/2/2019,36000
12/2/2019,36000
13/02/2019,36000
14/02/2019,36650
15/02/2019,36650
18/02/2019,37650
19/02/2019,37650
20/02/2019,37650
21/02/2019,37650
22/02/2019,37650
25/02/2019,37650
26/02/2019,37650
27/02/2019,37650
28/02/2019,37650
1/3/2019,37650
4/3/2019,35000
5/3/2019,35000
6/3/2019,35000
8/3/2019,35000
11/3/2019,35000
12/3/2019,35650
13/03/2019,35650
14/03/2019,36350
15/03/2019,36350
18/03/2019,36350
19/03/2019,36350
20/03/2019,36350
21/03/2019,35000
22/03/2019,35000
25/03/2019,35000
26/03/2019,35000
27/03/2019,35000
28/03/2019,32000
29/03/2019,32000
1/4/2019,33650
2/4/2019,35000
3/4/2019,34350
4/4/2019,34350
5/4/2019,36000
8/4/2019,36000
9/4/2019,36000
10/4/2019,36000
11/4/2019,36000
12/4/2019,36000
15/04/2019,39350
16/04/2019,39350
18/04/2019,39350
22/04/2019,39350
23/04/2019,39350
24/04/2019,39350
25/04/2019,39350
26/04/2019,39350
29/04/2019,38650
30/04/2019,39350
2/5/2019,39350
3/5/2019,39350
6/5/2019,39350
7/5/2019,39350
8/5/2019,39350
9/5/2019,39350
10/5/2019,39350
13/05/2019,38650
14/05/2019,37000
15/05/2019,37000
16/05/2019,37000
17/05/2019,37000
20/05/2019,37000
21/05/2019,37000
22/05/2019,37000
23/05/2019,38650
24/05/2019,38650
27/05/2019,39350
28/05/2019,39350
29/05/2019,39350
30/05/2019,39350
31/05/2019,39350
10/6/2019,39350
11/6/2019,39350
12/6/2019,36000
13/06/2019,36000
14/06/2019,36000
17/06/2019,35000
18/06/2019,35000
19/06/2019,35000
20/06/2019,35000
21/06/2019,35000
24/06/2019,35000
25/06/2019,35000
26/06/2019,35000
27/06/2019,35000
28/06/2019,35000
1/7/2019,35000
2/7/2019,37000
3/7/2019,37000
4/7/2019,38650
5/7/2019,38650
